#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-01-29 11:35:02 EST      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04045500 TAHQUAMENON RIVER NEAR PARADISE, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		70273	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04045500	00060	70273	1977	6	350.3
USGS	04045500	00060	70273	1977	7	592.5
USGS	04045500	00060	70273	1977	8	425.8
USGS	04045500	00060	70273	1977	9	918.1
USGS	04045500	00060	70273	1977	10	1175
USGS	04045500	00060	70273	1977	11	1731
USGS	04045500	00060	70273	1977	12	826.8
USGS	04045500	00060	70273	1978	1	584.2
USGS	04045500	00060	70273	1978	2	501.0
USGS	04045500	00060	70273	1978	3	477.3
USGS	04045500	00060	70273	1978	4	2103
USGS	04045500	00060	70273	1978	5	2606
USGS	04045500	00060	70273	1978	6	841.0
USGS	04045500	00060	70273	1978	7	656.4
USGS	04045500	00060	70273	1978	8	775.2
USGS	04045500	00060	70273	1978	9	1570
USGS	04045500	00060	70273	1978	10	1768
USGS	04045500	00060	70273	1978	11	742.3
USGS	04045500	00060	70273	1978	12	499.5
USGS	04045500	00060	70273	1979	1	436.6
USGS	04045500	00060	70273	1979	2	447.3
USGS	04045500	00060	70273	1979	3	1053
USGS	04045500	00060	70273	1979	4	3591
USGS	04045500	00060	70273	1979	5	2280
USGS	04045500	00060	70273	1979	6	1043
USGS	04045500	00060	70273	1979	7	827.5
USGS	04045500	00060	70273	1979	8	822.9
USGS	04045500	00060	70273	1979	9	666.2
USGS	04045500	00060	70273	1979	10	1165
USGS	04045500	00060	70273	1979	11	1700
USGS	04045500	00060	70273	1979	12	898.1
USGS	04045500	00060	70273	1980	1	699.5
USGS	04045500	00060	70273	1980	2	438.0
USGS	04045500	00060	70273	1980	3	453.5
USGS	04045500	00060	70273	1980	4	2638
USGS	04045500	00060	70273	1980	5	974.7
USGS	04045500	00060	70273	1980	6	829.8
USGS	04045500	00060	70273	1980	7	396.7
USGS	04045500	00060	70273	1980	8	306.4
USGS	04045500	00060	70273	1980	9	471.2
USGS	04045500	00060	70273	1980	10	624.5
USGS	04045500	00060	70273	1980	11	726.4
USGS	04045500	00060	70273	1980	12	458.4
USGS	04045500	00060	70273	1981	1	394.7
USGS	04045500	00060	70273	1981	2	534.6
USGS	04045500	00060	70273	1981	3	925.9
USGS	04045500	00060	70273	1981	4	3339
USGS	04045500	00060	70273	1981	5	728.8
USGS	04045500	00060	70273	1981	6	710.1
USGS	04045500	00060	70273	1981	7	521.9
USGS	04045500	00060	70273	1981	8	512.6
USGS	04045500	00060	70273	1981	9	375.9
USGS	04045500	00060	70273	1981	10	898.5
USGS	04045500	00060	70273	1981	11	676.2
USGS	04045500	00060	70273	1981	12	578.4
USGS	04045500	00060	70273	1982	1	430.5
USGS	04045500	00060	70273	1982	2	430.9
USGS	04045500	00060	70273	1982	3	552.9
USGS	04045500	00060	70273	1982	4	2569
USGS	04045500	00060	70273	1982	5	2394
USGS	04045500	00060	70273	1982	6	323.5
USGS	04045500	00060	70273	1982	7	379.9
